panagiotis;panos
jan;johannes
jorg;joerg;jörg
chip;raymond
jianhui;jian
tim;timothy
nikolai;kolya
alexandre;sasha
jong;jeong
davison;dave
gregory;grigory
jean;tran
andrey;andrei
donald;don
beomsu;beom
matti;matthias
hyeon;hyeonseung
william;joey
alexei;al
huija;hui
corbeo;corbo
philip;phil
minghsiung;ming
md;nayeem
minsuk;min
william;bill
dongwook;dong
jun;junjie
agentul;marius
daxi;daxian
andrei;andree
maciek;ignacy
francois;françois
dave;david
vojtech;vojtich
bao;baoloc
dzmitry;dima
cristina;maria
hans;hanspeter
paul;kirpal
johannes;arjan
sylvestre;silverio
maria;ioana
willem;wim
qiu;qiuming
ychafik;chafik
shinshan;shin
guangshun;guang
beth;elizabeth
dave;davezed;david
james;jamie
ken;kenneth
zhenxing;zhen
jon;juansher
matthew;matt
shmuel;schmuel
vic;vaclav
isaak;ya
bill;wilfred
alexander;alec
geydar;hejdar
elizabeta;elizabeth
elvira;maria
jonathan;john
james;jimmy
behar;silvia
minwoo;min
marcellus;marc
hyun;hyunyong
singhwa;xinghua;xing
shuyu;shu
jabus;jay
ruediger;rudiger
wentao;wen
hyungtaik;hyung
chiutien;chiu
sergey;serguei;sergei
shrinivas;shri
rami;ahmad
byoung;byoungyoon
fernando;baltasar
frank;teng
yan;yanlin
charles;stuart
lÃ¤hteenmÃ¤k;anne
hrant;grant
alessandra;maria
jim;allaby
ratindranath;ratin
matje;matej
hung;hungchong
jerry;jerome
he;hesheng
stephen;steve
raja;puragra
mathai;varghese
rudy;rudolph
na;nading
yi;yibin
hyun;hyunkwan
jean;anna
peter;samuel
xian;xianyou
pieter;peter
sergey;serguei
sergei;serguei
alexandr;alexandre
william;mike
gerardus;gerard
hannsjorg;hannsjoerg
hvard;haavard
jakob;jakub
jeremy;jeremiah
neill;iain
yonggang;yong
yu;korneliy
guofan;guo
sing;ka
jiayun;jia
norik;norayr
lian;lianyou
dick;richard
ronald;ron
stefan;stephan
yongsheng;yong
evgeny;evgeni;yevgeniy
nicolas;nick
simone;pagan
alter;walter
yu;yuriy
hank;henry
ernst;ernest
john;bill
natascha;natasha
wenbin;wen
vasiliy;vasyl
miklos;adam
theofanis;theophanes
clare;claire
ted;edmund
gene;harding
ronald;ronnie
anatoly;anatoli
sheikh;mansoor
abraham;abe
jaehyung;jae
wu;wuming
hao;haoshuang
xue;xuebing
guenakh;genah;gena
aleksander;alexander
victor;viktor
bo;bodhitha
cathie;catherine
mohammad;moh'd
yunju;yun
guennady;gennady
catherine;kate;kirsty
youngjoon;young
nicolas;nikolas
edward;dennis
de;roelof
eunil;eun
maxine;maxim
daniel;danny
zdzislaw;stanislaw
xiang;xi
torsten;torsten"
henry;henri
walt;walton
alexandr;alexander
nick;nicholas
shinichi;shin'i;shin
de;flavio
artemi;artemy
edward;ted
dong;donghee
martinus;tini
ghasem;qasem
hai;haiying
chuan;chuanlei
chun;chunhui
mieke;maria
evgeny;evgueni
